Kana,Kanji,English
あたらしい,新しい,new
あつい,暑い,hot [weather]
あつい,熱い,hot [objects]
いそがしい,忙しい,busy [people/days]
おおきい,大きい,large
おもしろい,面白い,interesting
こわい,怖い,frightening
さむい,寒い,cold [weather]
たのしい,楽しい,fun
ちいさい,小さい,small
つまらない,boring
ふるい,古い,old [object]
むずかしい,難しい,difficult
やさしい,easy [problem]; kind [person]
やすい,安い,inexpensive; cheap [thing]
きらいな,嫌い,disgusted with; to dislike
きれいな,,beautiful; clean
げんきな,元気,healthy; energetic
しずかな,静か,quiet
すきな,好き,fond of; to like
だいきらいな,大嫌い,to hate
だいすきな,大好き,very fond of; to love
にぎやかな,,lively
ハンサムな,,handsome
ひまな,暇,not busy; to have a lot of free time
たかい,高い,high; tall; expensive
あたまがいい,頭がいい,bright; smart; clever
かっこいい,,great-looking
かわいい,,cute
せがたかい,背が高い,tall
せがひくい,背が低い,short stature
ながい,長い,long
はやい,早い,fast
みじかい,短い,short length
しんせつ,親切,kind
べんり,便利,convenient