Kanji,Onyomi,Kunyomi,Desired,English
一,いち; いっ,ひと,いち,one
二,に,ふた,に,two
三,さん,みっ,さん,three
四,し,よん; よ; よっ,し; よん; よ,four
五,ご,いつ,ご,five
六,ろく; ろっ,むっ,ろく; ろっ,six
七,しち,なな,しち; なな,seven
八,はち; はっ,やっ,はち; はっ,eight
九,きゅう; く,ここの,きょう; く,nine
十,じゅう; じゅっ; じっ,とお,じゅう,ten
百,ひゃく; びゃく; ぴゃく,,ひゃく; びゃく; ぴゃく,one hundred
千,せん; ぜん,,せん; ぜん,one thousand
万,まん,,まん,ten thousand
円,えん,まる,えん,yen; circle
時,じ,とき,じ,time

Kanji,Onyomi,Kunyomi,Desired,English
日,に; にち; にっ,び; ひ; か,にち; にっ; び,day; sun
本,ほん,もと,ほん,book; basis
人,じん; にん,ひと,じん; ひと,person
月,げつ; がつ,つき,げつ; がつ,moon; month
火,か,ひ; び,か,fire
水,つい,みず,つい; みず,water
木,もく,き,もく,tree
金,きん,かね,きん,gold; money
土,ど; と,つち,ど,soil
曜,よう,,よう,weekday
上,じょう,うえ; のぼ,うえ,up
下,か,した; くだ,した,down
中,ちゅう; じゅう,なか,なか,middle
半,はん,,はん,half

Kanji,Onyomi,Kunyomi,Desired,English
山,さん,やま,やま,mountain
川,かわ; がわ,,かわ,river
元,げん; がん,もと,げん,origin
気,き,,き,spirit
天,てん,,てん,heaven
私,し,わたし,わたし,I; private
今,こん,いま,いま,now
田,た; だ,,た; だ,rice field
女,じょ,おんな,おんな,woman
男,だん,おとこ,おとこ,man
見,けん,み,み,to see
行,こう; ぎょう,い,い,to go
食,しょく,た,た,to eat
飲,いん,の,の,to drink

Kanji,Onyomi,Kunyomi,Desired,English
左,とう,ひだり,ひだり,east
西,せい; きい,にし,にし,west
南,みん,みなみ,みなみ,south  
北,ほく; ほっ,きた,きた,north
口,こう,ぐち; くち,ぐち,mouth
出,しゅっ; しゅつ,で; だ,で,to exit
右,う; ゆう,みぎ,みぎ,right
左,き,ひだり,ひだり,left
分,ふん; ぷん; ぶん,わ,ふん; ぷん,minute; to divide
先,せん,さき,せん,ahead
生,せい; しょう,う,せい,birth
大,だい; たい,おお,だい; おお,big
学,がく; がっ,まな,がく,learning
外,がい,そと,がい,outside
国,こく; ごく; こっ,くに,こく; ごく,country